Subzone,Planning Area,Population,MalePop,FemalePop,Total_Population
Admiralty,Sembawang,1600,720,910,13660
Airport Road,Paya Lebar,0,0,0,0
Alexandra Hill,Bukit Merah,3620,1640,1980,13350
Alexandra North,Bukit Merah,200,90,110,2830
Aljunied,Geylang,8580,3920,4680,41310
Anak Bukit,Bukit Timah,4360,2030,2330,21820
Anchorvale,Sengkang,4770,2160,2610,50840
Ang Mo Kio Town Centre,Ang Mo Kio,860,370,490,4940
Anson,Downtown Core,0,0,0,90
Bahar,Western Water Catchment,0,0,0,0
Balestier,Novena,6510,2770,3750,32750
Bangkit,Bukit Panjang,4100,1910,2220,21640
Bayfront Subzone,Downtown Core,0,0,0,0
Bayshore,Bedok,1070,500,590,7730
Bedok North,Bedok,18310,8270,10040,82430
Bedok Reservoir,Bedok,4050,1930,2130,25290
Bedok South,Bedok,10940,4890,6040,48400
Bencoolen,Rochor,320,130,190,1260
Bendemeer,Kallang,8000,3550,4430,37450
Benoi Sector,Pioneer,0,0,0,10
Bidadari,Toa Payoh,0,0,0,10
Bishan East,Bishan,6020,2670,3350,27620
Boat Quay,Singapore River,40,10,10,150
Boon Keng,Kallang,2710,1190,1530,11260
Boon Lay Place,Jurong West,4090,1960,2120,28700
Boon Teck,Toa Payoh,3610,1590,2020,15040
Boulevard,Orchard,80,50,40,500
Braddell,Toa Payoh,2220,970,1260,9670
Bras Basah,Museum,0,0,0,10
Brickland,Tengah,0,0,0,0
Brickworks,Bukit Batok,1800,840,980,27790
Bugis,Downtown Core,230,120,120,940
Bukit Batok Central,Bukit Batok,4790,2260,2530,27230
Bukit Batok East,Bukit Batok,2640,1230,1400,12380
Bukit Batok South,Bukit Batok,1970,990,980,14660
Bukit Batok West,Bukit Batok,2690,1270,1450,14600
Bukit Ho Swee,Bukit Merah,3770,1700,2070,13820
Bukit Merah,Bukit Merah,280,130,150,1040
Cairnhill,Newton,600,290,290,4300
Cecil,Downtown Core,10,0,0,470
Central Subzone,Downtown Core,70,40,40,1190
Central Water Catchment,Central Water Catchment,0,0,0,0
Changi Airport,Changi,0,0,0,0
Changi Bay,Changi Bay,0,0,0,0
Changi Point,Changi,150,100,80,560
Changi West,Changi,60,20,30,1240
Chatsworth,Tanglin,990,470,540,7330
Cheng San,Ang Mo Kio,6420,2780,3630,27350
Chin Bee,Jurong West,0,0,0,0
China Square,Outram,510,200,300,1360
Chinatown,Outram,2180,970,1230,10170
Choa Chu Kang Central,Choa Chu Kang,2710,1320,1400,22440
Choa Chu Kang North,Choa Chu Kang,3820,1850,1980,31290
Chong Boon,Ang Mo Kio,6810,2990,3810,25770
City Hall,Downtown Core,0,0,0,110
City Terminals,Bukit Merah,0,0,0,20
Clarke Quay,Singapore River,0,0,0,110
Cleantech,Western Water Catchment,0,0,0,0
Clementi Central,Clementi,3250,1360,1890,14680
Clementi North,Clementi,6770,2830,3940,27910
Clementi West,Clementi,3390,1490,1870,14930
Clementi Woods,Clementi,3370,1490,1900,15890
Clifford Pier,Downtown Core,0,0,0,0
Commonwealth,Queenstown,1820,700,1120,6680
Compassvale,Sengkang,2040,890,1150,20780
Coney Island,Punggol,0,0,0,0
Coronation Road,Bukit Timah,1120,510,600,6610
Crawford,Kallang,2640,1430,1210,8130
Dairy Farm,Bukit Panjang,830,400,430,7060
Defu Industrial Park,Hougang,0,0,0,10
Depot Road,Bukit Merah,1130,460,660,6450
Dhoby Ghaut,Museum,20,20,20,430
Dover,Queenstown,2330,1010,1330,11020
Dunearn,Novena,780,370,420,3940
East Coast,Marine Parade,0,0,0,0
Everton Park,Bukit Merah,1910,820,1110,7550
Faber,Clementi,630,300,320,5550
Fajar,Bukit Panjang,3680,1770,1890,26940
Farrer Court,Bukit Timah,910,390,520,6370
Farrer Park,Rochor,570,280,300,2550
Fernvale,Sengkang,5830,2570,3250,61130
Flora Drive,Pasir Ris,2100,1040,1070,15230
Forest Hill,Tengah,0,0,0,10
Fort Canning,Museum,20,0,10,190
Frankel,Bedok,6100,2800,3320,34420
Gali Batu,Sungei Kadut,0,0,0,30
Garden,Tengah,0,0,0,0
Geylang Bahru,Kallang,2670,1210,1470,10710
Geylang East,Geylang,6290,2850,3430,29430
Ghim Moh,Queenstown,3300,1320,1980,13440
Gombak,Bukit Batok,1690,760,940,9830
Goodwood Park,Newton,140,70,80,1360
Greenwood Park,Woodlands,0,0,0,100
Guilin,Bukit Batok,2120,960,1160,12790
Gul Basin,Pioneer,0,0,0,0
Gul Circle,Pioneer,0,0,0,20
Henderson Hill,Bukit Merah,3470,1540,1920,13010
Hillcrest,Bukit Timah,1530,700,840,9740
Hillview,Bukit Batok,2930,1510,1410,19660
Holland Drive,Queenstown,3530,1380,2150,12130
Holland Road,Bukit Timah,1650,760,880,11360
Hong Kah,Jurong West,10630,5050,5590,53110
Hong Kah North,Bukit Batok,4680,2320,2350,25620
Hougang Central,Hougang,890,450,460,4630
Hougang East,Hougang,3700,1760,1940,24450
Hougang West,Hougang,9080,4210,4890,44940
Institution Hill,River Valley,370,170,190,3580
International Business Park,Jurong East,0,0,0,0
Istana Negara,Newton,0,0,0,60
Jelebu,Bukit Panjang,5180,2510,2660,30540
Joo Koon,Pioneer,0,0,0,20
Joo Seng,Toa Payoh,1510,670,850,8130
Jurong Gateway,Jurong East,20,10,10,560
Jurong Island And Bukom,Western Islands,0,0,0,0
Jurong Port,Jurong East,0,0,0,0
Jurong River,Jurong East,0,0,0,10
Jurong West Central,Jurong West,7630,3720,3900,62410
Kaki Bukit,Bedok,7300,3400,3880,36170
Kallang Bahru,Kallang,0,0,0,20
Kallang Way,Geylang,0,0,0,40
Kampong Bugis,Kallang,230,100,110,1340
Kampong Glam,Rochor,40,20,0,110
Kampong Java,Kallang,2290,990,1300,10280
Kampong Tiong Bahru,Bukit Merah,2630,1220,1430,8740
Kampong Ubi,Geylang,2150,1050,1090,11210
Kangkar,Hougang,5280,2410,2880,32780
Katong,Marine Parade,1660,710,930,9350
Keat Hong,Choa Chu Kang,3060,1490,1580,38360
Kebun Bahru,Ang Mo Kio,5450,2430,3030,22180
Kembangan,Bedok,8400,3920,4480,36540
Kent Ridge,Queenstown,0,0,0,80
Khatib,Yishun,2050,960,1070,9970
Kian Teck,Jurong West,0,0,0,40
Kim Keat,Toa Payoh,1940,840,1100,7570
Kovan,Hougang,4510,2110,2400,24860
Kranji,Sungei Kadut,0,0,0,0
Lakeside (Business),Jurong East,0,0,0,0
Lakeside,Jurong East,440,220,220,1000
Lavender,Kallang,2050,1080,970,10040
Leedon Park,Bukit Timah,1170,540,610,6600
Leonie Hill,River Valley,420,210,210,3540
Lim Chu Kang,Lim Chu Kang,0,0,0,90
Little India,Rochor,870,420,440,3140
Liu Fang,Boon Lay,0,0,0,10
Lorong 8 Toa Payoh,Toa Payoh,1900,840,1040,6870
Lorong Ah Soo,Hougang,6970,3100,3880,32040
Lorong Chuan,Serangoon,1460,690,770,8680
Lorong Halus,Hougang,0,0,0,0
Lorong Halus North,Sengkang,0,0,0,0
Lower Seletar,Yishun,1080,460,620,19230
Loyang East,Pasir Ris,430,220,200,2120
Loyang West,Pasir Ris,190,80,120,210
Mackenzie,Rochor,10,0,0,160
Macpherson,Geylang,5890,2630,3250,27160
Malcolm,Novena,540,250,300,3090
Mandai East,Mandai,0,0,0,0
Mandai Estate,Mandai,290,150,140,2090
Mandai West,Mandai,0,0,0,0
Margaret Drive,Queenstown,4100,1670,2420,22420
Marina Centre,Downtown Core,0,0,0,10
Marina East,Marina East,0,0,0,0
Marina East (Mp),Marine Parade,0,0,0,0
Marina South,Marina South,0,0,0,0
Marine Parade,Marine Parade,6060,2530,3520,26510
Maritime Square,Bukit Merah,550,280,270,4270
Marymount,Bishan,5050,2350,2710,29000
Matilda,Punggol,4230,1870,2370,53630
Maxwell,Downtown Core,0,0,0,0
Mei Chin,Queenstown,3450,1500,1960,15310
Midview,Woodlands,3760,1820,1950,34540
Monk's Hill,Newton,160,60,90,1130
Moulmein,Novena,1080,510,600,10080
Mount Emily,Rochor,130,70,70,1880
Mount Pleasant,Novena,150,90,90,720
Mountbatten,Marine Parade,1760,840,920,9980
Murai,Western Water Catchment,10,10,10,610
Nassim,Tanglin,1480,710,770,10060
National University Of S'pore,Queenstown,0,0,0,230
Nature Reserve,Bukit Panjang,570,270,300,3960
Nee Soon,Yishun,160,70,70,910
Newton Circus,Newton,30,20,10,280
Nicoll,Downtown Core,50,30,10,380
North Coast,Woodlands,2390,1140,1250,11590
North-Eastern Islands,North-Eastern Islands,0,0,0,40
Northland,Yishun,4640,2190,2470,27600
Northshore,Punggol,900,390,500,9690
One North,Queenstown,40,20,20,830
One Tree Hill,River Valley,400,200,200,2230
Orange Grove,Newton,360,190,180,1910
Oxley,River Valley,260,130,170,1600
Pandan,Clementi,0,0,0,10
Pang Sua,Sungei Kadut,0,0,0,20
Park,Tengah,0,0,0,0
Pasir Panjang 1,Queenstown,680,340,340,4820
Pasir Panjang 2,Queenstown,640,350,310,3040
Pasir Ris Central,Pasir Ris,3700,1730,1960,32260
Pasir Ris Drive,Pasir Ris,7730,3650,4100,52860
Pasir Ris Park,Pasir Ris,460,230,240,7940
Pasir Ris Wafer Fab Park,Pasir Ris,0,0,0,10
Pasir Ris West,Pasir Ris,4010,1920,2090,35370
Paterson,River Valley,30,0,10,300
Paya Lebar East,Paya Lebar,0,0,0,0
Paya Lebar North,Paya Lebar,0,0,0,20
Paya Lebar West,Paya Lebar,0,0,0,0
Pearl's Hill,Outram,2060,1090,940,5650
Pei Chun,Toa Payoh,2470,1090,1370,10050
Peng Siang,Choa Chu Kang,4530,2210,2330,34130
Penjuru Crescent,Jurong East,0,0,0,10
People's Park,Outram,70,20,40,280
Phillip,Downtown Core,0,0,0,0
Pioneer Sector,Pioneer,0,0,0,10
Plab,Paya Lebar,0,0,0,0
Plantation,Tengah,0,0,0,0
Port,Queenstown,30,20,10,120
Potong Pasir,Toa Payoh,2860,1270,1600,11630
Pulau Punggol Barat,Seletar,0,0,0,0
Pulau Punggol Timor,Seletar,0,0,0,0
Pulau Seletar,Simpang,0,0,0,0
Punggol Canal,Punggol,0,0,0,0
Punggol Field,Punggol,5450,2570,2900,48740
Punggol Town Centre,Punggol,1490,650,820,22570
Queensway,Queenstown,40,30,30,260
Raffles Place,Downtown Core,0,0,0,20
Redhill,Bukit Merah,1800,830,980,11030
Reservoir View,Sungei Kadut,0,0,0,10
Ridout,Tanglin,320,150,160,1560
Rivervale,Sengkang,7980,3840,4150,58790
Robertson Quay,Singapore River,290,130,140,3480
Rochor Canal,Rochor,0,0,0,0
Safti,Jurong West,0,0,0,0
Samulun,Boon Lay,0,0,0,10
Saujana,Bukit Panjang,3030,1500,1530,25440
Selegie,Rochor,50,20,10,210
Seletar,Seletar,10,10,0,290
Seletar Aerospace Park,Seletar,0,0,0,10
Seletar Hills,Serangoon,2960,1430,1520,15210
Semakau,Western Islands,0,0,0,0
Sembawang Central,Sembawang,3690,1740,1950,35280
Sembawang East,Sembawang,1280,610,670,21730
Sembawang Hills,Ang Mo Kio,1420,640,770,6790
Sembawang North,Sembawang,2880,1390,1500,25540
Sembawang Springs,Sembawang,950,420,500,9610
Sembawang Straits,Sembawang,280,140,160,2390
Sengkang Town Centre,Sengkang,7260,3400,3870,61200
Sengkang West,Sengkang,0,0,0,0
Senja,Bukit Panjang,2870,1330,1540,21440
Sennett,Toa Payoh,1880,830,1040,14930
Senoko North,Sembawang,0,0,0,10
Senoko South,Sembawang,0,0,0,20
Senoko West,Woodlands,0,0,0,20
Sentosa,Southern Islands,180,100,80,2220
Serangoon Central,Serangoon,5680,2530,3150,24070
Serangoon Garden,Serangoon,8760,3910,4850,36260
Serangoon North,Serangoon,2590,1250,1350,15540
Serangoon North Ind Estate,Serangoon,0,0,0,0
Shangri-La,Ang Mo Kio,4070,1780,2300,17390
Shipyard,Boon Lay,0,0,0,10
Siglap,Bedok,1770,810,970,7300
Simei,Tampines,6640,3150,3480,38820
Simpang North,Simpang,0,0,0,0
Simpang South,Simpang,0,0,0,0
Singapore General Hospital,Bukit Merah,0,0,0,10
Singapore Polytechnic,Queenstown,0,0,0,90
Somerset,Orchard,10,0,10,160
Southern Group,Southern Islands,0,0,0,0
Springleaf,Yishun,850,440,420,4430
Straits View,Straits View,0,0,0,0
Sudong,Western Islands,0,0,0,0
Sungei Road,Rochor,510,230,270,1980
Sunset Way,Clementi,1370,640,750,5440
Swiss Club,Bukit Timah,950,460,500,5550
Tagore,Ang Mo Kio,1700,840,870,7960
Tai Seng,Hougang,2920,1390,1530,13400
Taman Jurong,Jurong West,5220,2510,2720,39420
Tampines East,Tampines,22820,10600,12220,127020
Tampines North,Tampines,1270,590,680,16630
Tampines West,Tampines,12860,6060,6770,81120
Tanglin,Orchard,50,20,30,440
Tanglin Halt,Queenstown,1500,580,920,6280
Tanjong Irau,Simpang,0,0,0,0
Tanjong Pagar,Downtown Core,80,40,30,790
Tanjong Rhu,Kallang,1760,800,970,11290
Teban Gardens,Jurong East,3870,1790,2090,17750
Teck Whye,Choa Chu Kang,4430,2120,2320,23880
Telok Blangah Drive,Bukit Merah,4000,1690,2330,19290
Telok Blangah Rise,Bukit Merah,3510,1490,2000,11830
Telok Blangah Way,Bukit Merah,2420,1120,1330,8710
Tengah Industrial Estate,Tengah,0,0,0,0
Tengeh,Tuas,0,0,0,0
The Wharves,Sembawang,0,0,0,0
Tiong Bahru,Bukit Merah,2640,1080,1550,12370
Tiong Bahru Station,Bukit Merah,2960,1230,1730,14860
Toa Payoh Central,Toa Payoh,5430,2290,3140,27510
Toa Payoh West,Toa Payoh,3560,1430,2130,14170
Toh Guan,Jurong East,2500,1240,1260,14200
Toh Tuck,Clementi,0,0,0,20
Townsville,Ang Mo Kio,5260,2220,3070,20310
Trafalgar,Hougang,7670,3800,3870,49880
Tuas Bay,Tuas,0,0,0,10
Tuas North,Tuas,0,0,0,10
Tuas Promenade,Tuas,0,0,0,10
Tuas View,Tuas,0,0,0,10
Tuas View Extension,Tuas,0,0,0,10
Tukang,Boon Lay,0,0,0,10
Turf Club,Sungei Kadut,150,70,80,680
Tyersall,Tanglin,690,320,380,4020
Ulu Pandan,Bukit Timah,2210,1050,1170,11220
Upper Paya Lebar,Serangoon,3300,1490,1810,18150
Upper Thomson,Bishan,6460,2950,3520,29060
Victoria,Rochor,520,230,280,1640
Waterway East,Punggol,3930,1700,2220,51180
Wenya,Jurong West,980,460,520,8200
West Coast,Clementi,970,490,520,9090
Woodgrove,Woodlands,4040,1940,2120,33080
Woodlands East,Woodlands,9500,4590,4890,98500
Woodlands Regional Centre,Woodlands,0,0,0,0
Woodlands South,Woodlands,3880,1880,2010,40480
Woodlands West,Woodlands,5500,2750,2760,33880
Woodleigh,Toa Payoh,350,170,170,2860
Xilin,Tampines,250,140,110,1750
Yew Tee,Choa Chu Kang,4550,2230,2320,39890
Yio Chu Kang,Ang Mo Kio,0,0,0,10
Yio Chu Kang East,Ang Mo Kio,820,430,380,4330
Yio Chu Kang North,Ang Mo Kio,0,0,0,0
Yio Chu Kang West,Ang Mo Kio,5150,2310,2860,23990
Yishun Central,Yishun,390,170,210,2940
Yishun East,Yishun,6940,3260,3670,62880
Yishun South,Yishun,6940,3210,3720,42090
Yishun West,Yishun,9760,4540,5230,52510
Yuhua East,Jurong East,5680,2680,2980,24150
Yuhua West,Jurong East,3920,1920,2020,18720
Yunnan,Jurong West,9400,4670,4730,66360
